,Unnamed: 0,Unnamed: 0.1,ID,campeonato,rodata,data,clube_mandante,clube_visitante,qtd_cartao_amarelo_mandante,qtd_cartao_amarelo_visitante,qtd_cartao_vermelho_mandante,qtd_cartao_vermelho_visitante,total_cartoes_mandante,total_cartoes_visitante,total_cartoes_vermelhos,total_cartoes_amarelos,total_cartoes_partida,faltas_mandante,faltas_visitante,total_faltas_partida,chave_classico,classico_regional,MedAma5_mandante,MedVer5_mandante,MedAma5_visitante,MedVer5_visitante,MedAmaTemp_mandante,MedAmaTemp_visitante,MedVerTemp_mandante,MedVerTemp_visitante,data_dt,MedAmaH_mandante,MedAmaH_visitante,MedVerH_mandante,MedVerH_visitante,MaxAmaTemp_mandante,MinAmaTemp_mandante,MaxAmaTemp_visitante,MinAmaTemp_visitante,MaxVerTemp_mandante,MinVerTemp_mandante,MaxVerTemp_visitante,MinVerTemp_visitante,ScoreMed_mandante,ScoreLevel_mandante,ScoreMed_visitante,ScoreLevel_visitante,ScoreMedTemp_mandante,ScoreLevelTemp_mandante,ScoreMedTemp_visitante,ScoreLevelTemp_visitante,FalAma_mandante,FalVer_mandante,FalAma_visitante,FalVer_visitante,FalAmaTemp_mandante,FalVerTemp_mandante,FalAmaTemp_visitante,FalVerTemp_visitante,Target_mandante_amarelo,Target_visitante_amarelo
0,0,0,4987,2015,1,9/5/2015,Chapecoense,Coritiba,0.4,0.3333333333333333,0.0,0.0,2,2,0,4,4,1.0,0.6363636363636365,41,ChapecoenseCoritiba,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,1,4988,2015,1,9/5/2015,Palmeiras,Atletico-MG,0.3333333333333333,0.6666666666666666,0.0,0.0,2,4,0,6,6,0.6086956521739131,0.2777777777777777,34,PalmeirasAtletico-MG,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2,2,2,4989,2015,1,9/5/2015,Fluminense,Joinville,0.3333333333333333,0.2,0.0,0.3333333333333333,2,2,1,3,4,0.21739130434782605,0.44444444444444436,23,FluminenseJoinville,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,3,3,4990,2015,1,10/5/2015,Gremio,Ponte Preta,0.5,0.8333333333333333,0.0,1.0,3,6,1,8,9,0.6875,0.8500000000000001,38,GremioPonte Preta,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
4,4,4,4991,2015,1,10/5/2015,Athletico-PR,Internacional,0.2,0.2857142857142857,0.0,0.0,1,2,0,3,3,0.7333333333333333,0.8,34,Athletico-PRInternacional,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
5,5,5,4992,2015,1,10/5/2015,Sao Paulo,Flamengo,0.4,0.14285714285714285,0.0,0.0,2,1,0,3,3,0.8666666666666667,0.3636363636363636,29,Sao PauloFlamengo,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6,6,6,4993,2015,1,10/5/2015,Cruzeiro,Corinthians,0.75,0.14285714285714285,0.0,0.0,3,1,0,4,4,0.75,0.611111111111111,32,CruzeiroCorinthians,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
7,7,7,4994,2015,1,10/5/2015,Sport,Figueirense,0.16666666666666666,0.4000000000000001,0.0,1.0,1,4,1,4,5,0.8461538461538461,0.4999999999999999,31,SportFigueirense,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
8,8,8,4995,2015,1,10/5/2015,Avai,Santos,0.3333333333333333,0.25,0.0,0.5,2,3,1,4,5,0.3571428571428571,0.1428571428571428,21,AvaiSantos,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9,9,9,4996,2015,1,10/5/2015,Vasco,Goias,0.4000000000000001,0.7142857142857142,0.0,0.0,3,5,0,8,8,0.625,0.9999999999999999,43,VascoGoias,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
