,ID,campeonato,rodata,data,clube_mandante,clube_visitante,qtd_cartao_amarelo_mandante,qtd_cartao_amarelo_visitante,qtd_cartao_vermelho_mandante,qtd_cartao_vermelho_visitante,total_cartoes_mandante,total_cartoes_visitante,total_cartoes_vermelhos,total_cartoes_amarelos,total_cartoes_partida,faltas_mandante,faltas_visitante,total_faltas_partida
0,4987,13,1,9/5/2015,Chapecoense,Coritiba,2,2,0,0,2,2,0,4,4,20,21,41
1,4988,13,1,9/5/2015,Palmeiras,Atletico-MG,2,4,0,0,2,4,0,6,6,20,14,34
2,4989,13,1,9/5/2015,Fluminense,Joinville,2,1,0,1,2,2,1,3,4,9,14,23
3,4990,13,1,10/5/2015,Gremio,Ponte Preta,3,5,0,1,3,6,1,8,9,17,21,38
4,4991,13,1,10/5/2015,Athletico-PR,Internacional,1,2,0,0,1,2,0,3,3,17,17,34
5,4992,13,1,10/5/2015,Sao Paulo,Flamengo,2,1,0,0,2,1,0,3,3,17,12,29
6,4993,13,1,10/5/2015,Cruzeiro,Corinthians,3,1,0,0,3,1,0,4,4,17,15,32
7,4994,13,1,10/5/2015,Sport,Figueirense,1,3,0,1,1,4,1,4,5,17,14,31
8,4995,13,1,10/5/2015,Avai,Santos,2,2,0,1,2,3,1,4,5,10,11,21
9,4996,13,1,10/5/2015,Vasco,Goias,3,5,0,0,3,5,0,8,8,16,27,43
10,4997,13,2,16/5/2015,Goias,Athletico-PR,2,1,0,1,2,2,1,3,4,14,18,32
11,4998,13,2,16/5/2015,Coritiba,Gremio,2,3,0,0,2,3,0,5,5,22,13,35
12,4999,13,2,16/5/2015,Corinthians,Chapecoense,2,4,0,0,2,4,0,6,6,16,13,29
13,5000,13,2,17/5/2015,Figueirense,Vasco,2,6,0,0,2,6,0,8,8,18,13,31
14,5001,13,2,17/5/2015,Atletico-MG,Fluminense,2,1,0,0,2,1,0,3,3,17,9,26
15,5002,13,2,17/5/2015,Flamengo,Sport,2,3,0,0,2,3,0,5,5,10,7,17
16,5003,13,2,17/5/2015,Santos,Cruzeiro,1,4,0,0,1,4,0,5,5,18,13,31
17,5004,13,2,17/5/2015,Joinville,Palmeiras,3,1,0,0,3,1,0,4,4,17,12,29
18,5005,13,2,17/5/2015,Ponte Preta,Sao Paulo,1,3,0,0,1,3,0,4,4,15,14,29
19,5006,13,2,17/5/2015,Internacional,Avai,3,7,0,0,3,7,0,10,10,17,26,43
20,5007,13,3,23/5/2015,Sao Paulo,Joinville,2,0,0,0,2,0,0,2,2,12,11,23
21,5008,13,3,23/5/2015,Vasco,Internacional,6,3,0,1,6,4,1,9,10,15,16,31
22,5009,13,3,23/5/2015,Gremio,Figueirense,6,5,0,0,6,5,0,11,11,16,24,40
23,5010,13,3,24/5/2015,Palmeiras,Goias,6,5,1,1,7,6,2,11,13,13,24,37
24,5011,13,3,24/5/2015,Chapecoense,Santos,5,6,0,0,5,6,0,11,11,13,20,33
25,5012,13,3,24/5/2015,Athletico-PR,Atletico-MG,4,0,1,0,5,0,1,4,5,7,8,15
26,5013,13,3,24/5/2015,Fluminense,Corinthians,2,2,0,0,2,2,0,4,4,19,6,25
27,5014,13,3,24/5/2015,Avai,Flamengo,5,6,0,0,5,6,0,11,11,15,17,32
28,5015,13,3,24/5/2015,Cruzeiro,Ponte Preta,2,2,0,0,2,2,0,4,4,17,11,28
29,5016,13,3,24/5/2015,Sport,Coritiba,1,4,0,0,1,4,0,5,5,13,17,30
30,5017,13,4,30/5/2015,Ponte Preta,Chapecoense,4,2,0,1,4,3,1,6,7,20,15,35
31,5018,13,4,30/5/2015,Coritiba,Avai,4,4,0,0,4,4,0,8,8,17,21,38
32,5019,13,4,30/5/2015,Joinville,Athletico-PR,0,4,0,0,0,4,0,4,4,12,13,25
33,5020,13,4,31/5/2015,Santos,Sport,1,2,0,0,1,2,0,3,3,9,11,20
34,5021,13,4,31/5/2015,Goias,Gremio,1,1,0,0,1,1,0,2,2,14,14,28
35,5022,13,4,31/5/2015,Atletico-MG,Vasco,0,3,0,0,0,3,0,3,3,16,12,28
36,5023,13,4,31/5/2015,Corinthians,Palmeiras,5,5,0,0,5,5,0,10,10,21,21,42
37,5024,13,4,31/5/2015,Internacional,Sao Paulo,3,1,0,1,3,2,1,4,5,19,17,36
38,5025,13,4,31/5/2015,Flamengo,Fluminense,6,3,1,1,7,4,2,9,11,24,23,47
39,5026,13,4,31/5/2015,Figueirense,Cruzeiro,3,6,0,1,3,7,1,9,10,17,11,28
40,5027,13,5,3/6/2015,Athletico-PR,Figueirense,1,4,0,0,1,4,0,5,5,12,8,20
41,5028,13,5,3/6/2015,Vasco,Ponte Preta,2,3,2,0,4,3,2,5,7,15,18,33
