,ID,clube_mandante,qtd_cartao_amarelo_mandante,qtd_cartao_vermelho_mandante,clube_visitante,qtd_cartao_amarelo_visitante,qtd_cartao_vermelho_visitante,total_cartoes_mandante,total_cartoes_visitante,total_cartoes_amarelos,total_cartoes_vermelhos,total_cartoes_partida
0,4607,Fluminense,0,0,Figueirense,2,0,0,2,2,0,2
1,4608,Internacional,2,0,Vitoria,3,0,2,3,5,0,5
2,4609,Chapecoense,0,0,Coritiba,1,0,0,1,1,0,1
3,4610,Athletico-PR,1,0,Gremio,2,0,1,2,3,0,3
4,4611,Sao Paulo,1,0,Botafogo-RJ,2,0,1,2,3,0,3
5,4612,Bahia,4,0,Cruzeiro,4,0,4,4,8,0,8
6,4614,Flamengo,4,0,Goias,2,0,4,2,6,0,6
7,4615,Santos,1,0,Sport,3,0,1,3,4,0,4
8,4616,Criciuma,3,0,Palmeiras,5,0,3,5,8,0,8
9,4617,Coritiba,3,0,Santos,4,0,3,4,7,0,7
10,4618,Palmeiras,1,0,Fluminense,2,0,1,2,3,0,3
11,4619,Botafogo-RJ,2,1,Internacional,4,0,3,4,6,1,7
12,4620,Vitoria,1,0,Athletico-PR,1,0,1,1,2,0,2
13,4621,Corinthians,2,0,Flamengo,1,1,2,2,3,1,4
14,4622,Cruzeiro,2,0,Sao Paulo,1,0,2,1,3,0,3
15,4623,Figueirense,3,0,Bahia,2,0,3,2,5,0,5
16,4624,Gremio,3,1,Atletico-MG,3,0,4,3,6,1,7
17,4625,Goias,0,0,Criciuma,1,0,0,1,1,0,1
18,4626,Sport,1,0,Chapecoense,1,0,1,1,2,0,2
19,4627,Santos,1,0,Gremio,1,0,1,1,2,0,2
20,4628,Athletico-PR,3,1,Cruzeiro,3,0,4,3,6,1,7
21,4629,Sao Paulo,3,0,Coritiba,3,0,3,3,6,0,6
22,4630,Fluminense,1,0,Vitoria,1,0,1,1,2,0,2
23,4631,Criciuma,1,0,Figueirense,5,1,1,6,6,1,7
24,4632,Internacional,2,0,Sport,2,0,2,2,4,0,4
25,4633,Bahia,4,0,Botafogo-RJ,4,0,4,4,8,0,8
26,4634,Flamengo,2,0,Palmeiras,4,0,2,4,6,0,6
27,4635,Chapecoense,3,0,Corinthians,3,0,3,3,6,0,6
28,4636,Atletico-MG,2,0,Goias,1,0,2,1,3,0,3
29,4637,Internacional,3,0,Athletico-PR,1,0,3,1,4,0,4
30,4638,Palmeiras,5,0,Goias,4,0,5,4,9,0,9
31,4639,Botafogo-RJ,1,0,Criciuma,5,0,1,5,6,0,6
32,4640,Chapecoense,2,0,Gremio,4,0,2,4,6,0,6
33,4641,Fluminense,2,0,Flamengo,4,0,2,4,6,0,6
34,4642,Atletico-MG,5,0,Cruzeiro,2,2,5,4,7,2,9
35,4643,Sao Paulo,3,0,Corinthians,2,0,3,2,5,0,5
36,4644,Figueirense,2,1,Santos,1,1,3,2,3,2,5
37,4645,Coritiba,3,0,Sport,1,0,3,1,4,0,4
38,4646,Bahia,3,1,Vitoria,3,1,4,4,6,2,8
39,4647,Goias,3,0,Botafogo-RJ,0,0,3,0,3,0,3
40,4648,Cruzeiro,2,0,Coritiba,1,0,2,1,3,0,3
41,4649,Gremio,3,0,Fluminense,2,1,3,3,5,1,6
42,4650,Corinthians,4,0,Figueirense,3,0,4,3,7,0,7
43,4651,Flamengo,1,0,Sao Paulo,1,0,1,1,2,0,2
44,4652,Athletico-PR,2,0,Chapecoense,2,0,2,2,4,0,4
45,4654,Criciuma,2,1,Internacional,3,0,3,3,5,1,6
46,4655,Santos,3,0,Atletico-MG,3,0,3,3,6,0,6
47,4656,Sport,6,0,Bahia,4,2,6,6,10,2,12
48,4657,Coritiba,3,0,Internacional,6,0,3,6,9,0,9
49,4658,Flamengo,3,0,Bahia,1,0,3,1,4,0,4
50,4660,Criciuma,1,0,Chapecoense,0,0,1,0,1,0,1
51,4661,Corinthians,1,0,Athletico-PR,5,0,1,5,6,0,6
52,4662,Fluminense,1,0,Sao Paulo,4,0,1,4,5,0,5
53,4663,Gremio,2,0,Botafogo-RJ,3,0,2,3,5,0,5
54,4664,Palmeiras,2,0,Figueirense,3,0,2,3,5,0,5
55,4665,Goias,3,0,Santos,2,0,3,2,5,0,5
56,4666,Vitoria,2,0,Atletico-MG,2,0,2,2,4,0,4
57,4667,Bahia,1,0,Fluminense,0,0,1,0,1,0,1
58,4668,Sao Paulo,4,0,Gremio,2,0,4,2,6,0,6
59,4669,Santos,2,1,Flamengo,3,0,3,3,5,1,6
60,4670,Figueirense,1,0,Goias,2,0,1,2,3,0,3
61,4671,Sport,3,2,Corinthians,1,0,5,1,4,2,6
62,4672,Athletico-PR,3,0,Coritiba,5,0,3,5,8,0,8
63,4673,Internacional,1,0,Cruzeiro,2,0,1,2,3,0,3
64,4674,Botafogo-RJ,4,0,Vitoria,4,0,4,4,8,0,8
65,4675,Chapecoense,2,0,Palmeiras,2,0,2,2,4,0,4
66,4676,Atletico-MG,2,0,Criciuma,2,0,2,2,4,0,4
67,4677,Criciuma,5,0,Coritiba,5,0,5,5,10,0,10
68,4678,Palmeiras,1,1,Botafogo-RJ,3,0,2,3,4,1,5
69,4679,Sport,1,0,Gremio,2,0,1,2,3,0,3
70,4680,Internacional,2,0,Chapecoense,4,0,2,4,6,0,6
71,4682,Corinthians,2,0,Cruzeiro,0,0,2,0,2,0,2
72,4683,Athletico-PR,2,0,Sao Paulo,1,0,2,1,3,0,3
73,4684,Atletico-MG,7,0,Fluminense,4,1,7,5,11,1,12
