,ID,Unnamed: 0,campeonato,clube_mandante,clube_visitante,data,qtd_cartao_amarelo_mandante,qtd_cartao_amarelo_visitante,qtd_cartao_vermelho_mandante,qtd_cartao_vermelho_visitante,total_cartoes_amarelos,total_cartoes_mandante,total_cartoes_partida,total_cartoes_vermelhos,total_cartoes_visitante
0,4607,0.0,12,Fluminense,Figueirense,19/4/2014,0,2,0,0,2,0,2,0,2
1,4608,1.0,12,Internacional,Vitoria,19/4/2014,2,3,0,0,5,2,5,0,3
2,4609,2.0,12,Chapecoense,Coritiba,19/4/2014,0,1,0,0,1,0,1,0,1
3,4610,3.0,12,Athletico-PR,Gremio,20/4/2014,1,2,0,0,3,1,3,0,2
4,4611,4.0,12,Sao Paulo,Botafogo-RJ,20/4/2014,1,2,0,0,3,1,3,0,2
5,4612,5.0,12,Bahia,Cruzeiro,20/4/2014,4,4,0,0,8,4,8,0,4
6,4614,6.0,12,Flamengo,Goias,20/4/2014,4,2,0,0,6,4,6,0,2
7,4615,7.0,12,Santos,Sport,20/4/2014,1,3,0,0,4,1,4,0,3
8,4616,8.0,12,Criciuma,Palmeiras,20/4/2014,3,5,0,0,8,3,8,0,5
9,4617,9.0,12,Coritiba,Santos,26/4/2014,3,4,0,0,7,3,7,0,4
10,4618,10.0,12,Palmeiras,Fluminense,26/4/2014,1,2,0,0,3,1,3,0,2
11,4619,11.0,12,Botafogo-RJ,Internacional,27/4/2014,2,4,1,0,6,3,7,1,4
12,4620,12.0,12,Vitoria,Athletico-PR,27/4/2014,1,1,0,0,2,1,2,0,1
13,4621,13.0,12,Corinthians,Flamengo,27/4/2014,2,1,0,1,3,2,4,1,2
14,4622,14.0,12,Cruzeiro,Sao Paulo,27/4/2014,2,1,0,0,3,2,3,0,1
15,4623,15.0,12,Figueirense,Bahia,27/4/2014,3,2,0,0,5,3,5,0,2
16,4624,16.0,12,Gremio,Atletico-MG,27/4/2014,3,3,1,0,6,4,7,1,3
17,4625,17.0,12,Goias,Criciuma,27/4/2014,0,1,0,0,1,0,1,0,1
18,4626,18.0,12,Sport,Chapecoense,27/4/2014,1,1,0,0,2,1,2,0,1
19,4627,19.0,12,Santos,Gremio,3/5/2014,1,1,0,0,2,1,2,0,1
20,4628,20.0,12,Athletico-PR,Cruzeiro,3/5/2014,3,3,1,0,6,4,7,1,3
21,4629,21.0,12,Sao Paulo,Coritiba,3/5/2014,3,3,0,0,6,3,6,0,3
22,4630,22.0,12,Fluminense,Vitoria,3/5/2014,1,1,0,0,2,1,2,0,1
23,4631,23.0,12,Criciuma,Figueirense,4/5/2014,1,5,0,1,6,1,7,1,6
24,4632,24.0,12,Internacional,Sport,4/5/2014,2,2,0,0,4,2,4,0,2
25,4633,25.0,12,Bahia,Botafogo-RJ,4/5/2014,4,4,0,0,8,4,8,0,4
26,4634,26.0,12,Flamengo,Palmeiras,4/5/2014,2,4,0,0,6,2,6,0,4
27,4635,27.0,12,Chapecoense,Corinthians,4/5/2014,3,3,0,0,6,3,6,0,3
28,4636,28.0,12,Atletico-MG,Goias,4/5/2014,2,1,0,0,3,2,3,0,1
29,4637,29.0,12,Internacional,Athletico-PR,10/5/2014,3,1,0,0,4,3,4,0,1
30,4638,30.0,12,Palmeiras,Goias,10/5/2014,5,4,0,0,9,5,9,0,4
31,4639,31.0,12,Botafogo-RJ,Criciuma,10/5/2014,1,5,0,0,6,1,6,0,5
32,4640,32.0,12,Chapecoense,Gremio,11/5/2014,2,4,0,0,6,2,6,0,4
33,4641,33.0,12,Fluminense,Flamengo,11/5/2014,2,4,0,0,6,2,6,0,4
34,4642,34.0,12,Atletico-MG,Cruzeiro,11/5/2014,5,2,0,2,7,5,9,2,4
35,4643,35.0,12,Sao Paulo,Corinthians,11/5/2014,3,2,0,0,5,3,5,0,2
36,4644,36.0,12,Figueirense,Santos,11/5/2014,2,1,1,1,3,3,5,2,2
37,4645,37.0,12,Coritiba,Sport,11/5/2014,3,1,0,0,4,3,4,0,1
38,4646,38.0,12,Bahia,Vitoria,11/5/2014,3,3,1,1,6,4,8,2,4
39,4647,39.0,12,Goias,Botafogo-RJ,14/5/2014,3,0,0,0,3,3,3,0,0
40,4648,40.0,12,Cruzeiro,Coritiba,17/5/2014,2,1,0,0,3,2,3,0,1
41,4649,41.0,12,Gremio,Fluminense,18/5/2014,3,2,0,1,5,3,6,1,3
42,4650,42.0,12,Corinthians,Figueirense,18/5/2014,4,3,0,0,7,4,7,0,3
43,4651,43.0,12,Flamengo,Sao Paulo,18/5/2014,1,1,0,0,2,1,2,0,1
44,4652,44.0,12,Athletico-PR,Chapecoense,18/5/2014,2,2,0,0,4,2,4,0,2
45,4654,45.0,12,Criciuma,Internacional,18/5/2014,2,3,1,0,5,3,6,1,3
46,4655,46.0,12,Santos,Atletico-MG,18/5/2014,3,3,0,0,6,3,6,0,3
47,4656,47.0,12,Sport,Bahia,4/6/2014,6,4,0,2,10,6,12,2,6
48,4657,48.0,12,Coritiba,Internacional,21/5/2014,3,6,0,0,9,3,9,0,6
49,4658,49.0,12,Flamengo,Bahia,21/5/2014,3,1,0,0,4,3,4,0,1
50,4660,50.0,12,Criciuma,Chapecoense,21/5/2014,1,0,0,0,1,1,1,0,0
51,4661,51.0,12,Corinthians,Athletico-PR,21/5/2014,1,5,0,0,6,1,6,0,5
52,4662,52.0,12,Fluminense,Sao Paulo,21/5/2014,1,4,0,0,5,1,5,0,4
53,4663,53.0,12,Gremio,Botafogo-RJ,21/5/2014,2,3,0,0,5,2,5,0,3
54,4664,54.0,12,Palmeiras,Figueirense,22/5/2014,2,3,0,0,5,2,5,0,3
55,4665,55.0,12,Goias,Santos,22/5/2014,3,2,0,0,5,3,5,0,2
56,4666,56.0,12,Vitoria,Atletico-MG,22/5/2014,2,2,0,0,4,2,4,0,2
57,4667,57.0,12,Bahia,Fluminense,24/5/2014,1,0,0,0,1,1,1,0,0
58,4668,58.0,12,Sao Paulo,Gremio,24/5/2014,4,2,0,0,6,4,6,0,2
59,4669,59.0,12,Santos,Flamengo,25/5/2014,2,3,1,0,5,3,6,1,3
60,4670,60.0,12,Figueirense,Goias,25/5/2014,1,2,0,0,3,1,3,0,2
61,4671,61.0,12,Sport,Corinthians,25/5/2014,3,1,2,0,4,5,6,2,1
62,4672,62.0,12,Athletico-PR,Coritiba,25/5/2014,3,5,0,0,8,3,8,0,5
63,4673,63.0,12,Internacional,Cruzeiro,25/5/2014,1,2,0,0,3,1,3,0,2
64,4674,64.0,12,Botafogo-RJ,Vitoria,25/5/2014,4,4,0,0,8,4,8,0,4
65,4675,65.0,12,Chapecoense,Palmeiras,25/5/2014,2,2,0,0,4,2,4,0,2
66,4676,66.0,12,Atletico-MG,Criciuma,25/5/2014,2,2,0,0,4,2,4,0,2
67,4677,67.0,12,Criciuma,Coritiba,28/5/2014,5,5,0,0,10,5,10,0,5
68,4678,68.0,12,Palmeiras,Botafogo-RJ,28/5/2014,1,3,1,0,4,2,5,1,3
69,4679,69.0,12,Sport,Gremio,28/5/2014,1,2,0,0,3,1,3,0,2
70,4680,70.0,12,Internacional,Chapecoense,28/5/2014,2,4,0,0,6,2,6,0,4
71,4682,71.0,12,Corinthians,Cruzeiro,28/5/2014,2,0,0,0,2,2,2,0,0
72,4683,72.0,12,Athletico-PR,Sao Paulo,28/5/2014,2,1,0,0,3,2,3,0,1
73,4684,73.0,12,Atletico-MG,Fluminense,28/5/2014,7,4,0,1,11,7,12,1,5
74,4685,74.0,12,Flamengo,Figueirense,29/5/2014,0,1,0,0,1,0,1,0,1
75,4686,75.0,12,Bahia,Santos,29/5/2014,4,2,0,0,6,4,6,0,2
76,4687,76.0,12,Coritiba,Goias,31/5/2014,4,2,0,0,6,4,6,0,2
77,4688,77.0,12,Sao Paulo,Atletico-MG,31/5/2014,3,2,0,0,5,3,5,0,2
78,4689,78.0,12,Vitoria,Sport,31/5/2014,4,3,0,0,7,4,7,0,3
79,4690,79.0,12,Gremio,Palmeiras,1/6/2014,3,5,0,0,8,3,8,0,5
80,4691,80.0,12,Chapecoense,Bahia,1/6/2014,4,3,0,0,7,4,7,0,3
81,4692,81.0,12,Cruzeiro,Flamengo,1/6/2014,0,1,0,0,1,0,1,0,1
82,4693,82.0,12,Fluminense,Internacional,1/6/2014,2,3,0,0,5,2,5,0,3
83,4694,83.0,12,Santos,Criciuma,1/6/2014,2,4,0,0,6,2,6,0,4
84,4695,84.0,12,Figueirense,Athletico-PR,1/6/2014,4,4,0,0,8,4,8,0,4
85,4696,85.0,12,Botafogo-RJ,Corinthians,11/10/2014,3,2,1,0,5,4,6,1,2
86,4697,86.0,12,Corinthians,Botafogo-RJ,1/6/2014,0,3,0,0,3,0,3,0,3
87,4698,87.0,12,Goias,Coritiba,11/10/2014,2,2,0,0,4,2,4,0,2
88,4699,88.0,12,Palmeiras,Gremio,11/10/2014,1,5,0,1,6,1,7,1,6
89,4700,89.0,12,Flamengo,Cruzeiro,12/10/2014,2,2,0,0,4,2,4,0,2
90,4701,90.0,12,Bahia,Chapecoense,12/10/2014,1,2,0,1,3,1,4,1,3
91,4702,91.0,12,Internacional,Fluminense,12/10/2014,3,3,0,0,6,3,6,0,3
92,4703,92.0,12,Atletico-MG,Sao Paulo,12/10/2014,0,1,0,0,1,0,1,0,1
93,4704,93.0,12,Athletico-PR,Figueirense,12/10/2014,2,3,0,0,5,2,5,0,3
94,4705,94.0,12,Sport,Vitoria,12/10/2014,2,4,0,0,6,2,6,0,4
95,4706,95.0,12,Criciuma,Santos,12/10/2014,4,1,0,0,5,4,5,0,1
96,4707,96.0,12,Gremio,Goias,16/7/2014,1,4,0,0,5,1,5,0,4
97,4708,97.0,12,Coritiba,Figueirense,16/7/2014,1,2,0,0,3,1,3,0,2
98,4709,98.0,12,Sport,Botafogo-RJ,16/7/2014,1,2,0,0,3,1,3,0,2
99,4710,99.0,12,Criciuma,Fluminense,16/7/2014,2,2,0,0,4,2,4,0,2
100,4711,100.0,12,Bahia,Sao Paulo,16/7/2014,4,4,0,0,8,4,8,0,4
101,4712,101.0,12,Flamengo,Athletico-PR,16/7/2014,1,3,0,0,4,1,4,0,3
102,4713,102.0,12,Corinthians,Internacional,17/7/2014,3,4,0,0,7,3,7,0,4
103,4714,103.0,12,Santos,Palmeiras,17/7/2014,1,3,0,0,4,1,4,0,3
104,4715,104.0,12,Cruzeiro,Vitoria,17/7/2014,0,3,0,0,3,0,3,0,3
105,4716,105.0,12,Chapecoense,Atletico-MG,6/8/2014,1,1,0,0,2,1,2,0,1
106,4717,106.0,12,Sao Paulo,Chapecoense,19/7/2014,3,3,0,0,6,3,6,0,3
107,4718,107.0,12,Figueirense,Gremio,19/7/2014,1,6,1,0,7,2,8,1,6
108,4719,108.0,12,Atletico-MG,Bahia,19/7/2014,3,4,0,0,7,3,7,0,4
109,4720,109.0,12,Botafogo-RJ,Coritiba,19/7/2014,2,1,0,0,3,2,3,0,1
110,4721,110.0,12,Internacional,Flamengo,20/7/2014,0,1,0,1,1,0,2,1,2
111,4722,111.0,12,Palmeiras,Cruzeiro,20/7/2014,3,5,0,0,8,3,8,0,5
112,4723,112.0,12,Vitoria,Corinthians,20/7/2014,1,1,0,0,2,1,2,0,1
113,4724,113.0,12,Athletico-PR,Criciuma,20/7/2014,1,1,0,0,2,1,2,0,1
114,4725,114.0,12,Fluminense,Santos,20/7/2014,2,1,0,0,3,2,3,0,1
115,4726,115.0,12,Goias,Sport,20/7/2014,1,3,0,0,4,1,4,0,3
116,4727,116.0,12,Santos,Chapecoense,26/7/2014,2,1,0,0,3,2,3,0,1
117,4728,117.0,12,Cruzeiro,Figueirense,26/7/2014,0,2,0,0,2,0,2,0,2
118,4729,118.0,12,Criciuma,Vitoria,26/7/2014,3,3,1,0,6,4,7,1,3
119,4730,119.0,12,Bahia,Internacional,26/7/2014,2,2,0,0,4,2,4,0,2
120,4731,120.0,12,Goias,Sao Paulo,27/7/2014,2,1,0,0,3,2,3,0,1
121,4732,121.0,12,Athletico-PR,Fluminense,27/7/2014,3,1,0,0,4,3,4,0,1
122,4733,122.0,12,Corinthians,Palmeiras,27/7/2014,1,2,0,0,3,1,3,0,2
123,4734,123.0,12,Sport,Atletico-MG,27/7/2014,0,3,0,0,3,0,3,0,3
124,4735,124.0,12,Flamengo,Botafogo-RJ,27/7/2014,3,4,1,0,7,4,8,1,4
125,4736,125.0,12,Gremio,Coritiba,27/7/2014,1,2,0,0,3,1,3,0,2
126,4737,126.0,12,Botafogo-RJ,Cruzeiro,2/8/2014,2,1,0,0,3,2,3,0,1
127,4738,127.0,12,Sao Paulo,Criciuma,2/8/2014,1,1,0,0,2,1,2,0,1
128,4740,128.0,12,Palmeiras,Bahia,3/8/2014,3,3,0,0,6,3,6,0,3
129,4741,129.0,12,Chapecoense,Flamengo,3/8/2014,4,1,0,0,5,4,5,0,1
130,4742,130.0,12,Coritiba,Corinthians,3/8/2014,3,2,0,1,5,3,6,1,3
131,4743,131.0,12,Figueirense,Sport,3/8/2014,1,1,0,0,2,1,2,0,1
132,4744,132.0,12,Internacional,Santos,3/8/2014,4,2,1,1,6,5,8,2,3
133,4745,133.0,12,Fluminense,Goias,3/8/2014,1,1,0,0,2,1,2,0,1
134,4746,134.0,12,Atletico-MG,Athletico-PR,3/8/2014,2,3,0,0,5,2,5,0,3
