ID;data;clube_mandante_x;clube_visitante_x;cartao_amarelo_mandante;cartao_amarelo_visitante;cartao_vermelho_mandante;cartao_vermelho_visitante
4989;9/5/2015;Fluminense;Joinville;2;0;0;1
4990;10/5/2015;Gremio;Ponte Preta;2;4;0;0
4994;10/5/2015;Sport;Figueirense;1;2;0;1
4995;10/5/2015;Avai;Santos;2;1;0;1
5008;23/5/2015;Vasco;Internacional;6;2;0;1
5010;24/5/2015;Palmeiras;Goias;6;4;1;1
5017;30/5/2015;Ponte Preta;Chapecoense;4;1;0;1
5024;31/5/2015;Internacional;Sao Paulo;3;0;0;1
5025;31/5/2015;Flamengo;Fluminense;5;3;1;1
5026;31/5/2015;Figueirense;Cruzeiro;3;5;0;1
5028;3/6/2015;Vasco;Ponte Preta;1;3;2;0
5043;7/6/2015;Internacional;Coritiba;3;5;1;0
5048;13/6/2015;Coritiba;Flamengo;2;3;0;1
5055;14/6/2015;Palmeiras;Fluminense;0;6;0;2
5059;20/6/2015;Flamengo;Atletico-MG;0;0;0;1
5060;20/6/2015;Santos;Corinthians;4;3;1;1
5063;21/6/2015;Joinville;Goias;4;4;1;1
5064;21/6/2015;Athletico-PR;Coritiba;2;3;0;2
5076;28/6/2015;Internacional;Santos;3;2;0;1
5085;2/7/2015;Figueirense;Goias;1;2;1;0
5088;4/7/2015;Chapecoense;Vasco;1;1;0;2
5090;5/7/2015;Avai;Sport;5;2;1;0
5093;5/7/2015;Santos;Gremio;3;1;1;0
5122;19/7/2015;Sport;Sao Paulo;1;0;0;2
5139;1/8/2015;Fluminense;Gremio;3;1;0;1
5151;9/8/2015;Sao Paulo;Corinthians;4;1;0;1
5158;12/8/2015;Flamengo;Athletico-PR;2;3;0;1
5159;12/8/2015;Santos;Vasco;3;4;0;1
5162;12/8/2015;Internacional;Fluminense;6;3;0;2
5168;15/8/2015;Athletico-PR;Santos;1;1;1;0
5172;16/8/2015;Fluminense;Figueirense;1;1;0;1
5177;22/8/2015;Goias;Vasco;3;2;0;2
5195;30/8/2015;Cruzeiro;Santos;2;2;1;0
5201;2/9/2015;Atletico-MG;Athletico-PR;4;4;1;0
5208;5/9/2015;Vasco;Atletico-MG;2;2;1;0
5209;5/9/2015;Athletico-PR;Joinville;4;1;1;3
5212;6/9/2015;Gremio;Goias;3;3;0;1
5215;6/9/2015;Fluminense;Flamengo;6;5;0;1
5217;9/9/2015;Ponte Preta;Vasco;2;1;1;0
5219;9/9/2015;Internacional;Palmeiras;5;2;1;1
5228;12/9/2015;Palmeiras;Figueirense;4;3;0;1
5231;13/9/2015;Cruzeiro;Atletico-MG;2;5;1;0
5244;16/9/2015;Cruzeiro;Vasco;4;2;0;1
5255;20/9/2015;Chapecoense;Cruzeiro;2;0;0;1
5275;4/10/2015;Ponte Preta;Corinthians;1;4;1;0
5288;17/10/2015;Joinville;Figueirense;1;3;1;0
5293;18/10/2015;Sao Paulo;Vasco;1;1;1;0
5296;18/10/2015;Sport;Atletico-MG;0;0;0;1
5301;25/10/2015;Corinthians;Flamengo;3;1;0;1
5313;1/11/2015;Gremio;Flamengo;0;0;0;1
5315;1/11/2015;Vasco;Fluminense;2;4;0;1
5333;19/11/2015;Chapecoense;Internacional;4;2;0;1
5335;19/11/2015;Santos;Flamengo;2;1;0;1
5336;19/11/2015;Vasco;Corinthians;1;3;1;0
5338;22/11/2015;Joinville;Vasco;4;4;1;0
5349;28/11/2015;Avai;Ponte Preta;1;1;0;1
5367;14/5/2016;Palmeiras;Athletico-PR;1;3;0;1
5370;14/5/2016;Coritiba;Cruzeiro;1;2;0;2
5376;15/5/2016;Internacional;Chapecoense;3;3;0;1
5382;22/5/2016;Vitoria;Corinthians;4;4;1;0
5390;25/5/2016;America-MG;Vitoria;4;1;0;1
5400;29/5/2016;Ponte Preta;Flamengo;2;1;0;1
5409;1/6/2016;Santa Cruz;Sport;5;2;1;0
5431;12/6/2016;Coritiba;Sport;4;3;1;1
5433;12/6/2016;Atletico-MG;Cruzeiro;4;5;1;3
5446;16/6/2016;Fluminense;Corinthians;2;0;0;1
5447;18/6/2016;Palmeiras;Santa Cruz;1;3;0;1
5453;19/6/2016;Flamengo;Sao Paulo;1;2;0;1
5464;23/6/2016;Gremio;Vitoria;3;4;1;0
5466;23/6/2016;Coritiba;Internacional;1;5;1;0
5474;26/6/2016;Santos;Sao Paulo;2;2;0;1
5478;29/6/2016;Vitoria;Sport;4;2;0;2
5489;3/7/2016;Cruzeiro;Vitoria;3;2;0;1
5497;9/7/2016;Chapecoense;Corinthians;0;1;1;0
5520;24/7/2016;Ponte Preta;Internacional;3;2;0;1
5521;24/7/2016;Gremio;Sao Paulo;0;2;0;1
5527;30/7/2016;Figueirense;Vitoria;3;3;1;1
5575;21/8/2016;Figueirense;Cruzeiro;3;5;1;0
5587;7/9/2016;Santa Cruz;Chapecoense;2;3;1;0
5596;8/9/2016;Internacional;Santos;4;3;0;1
5597;10/9/2016;Vitoria;Flamengo;1;1;1;0
5608;14/9/2016;Figueirense;America-MG;0;1;0;1
5611;14/9/2016;Coritiba;Corinthians;2;1;1;0
5612;14/9/2016;Palmeiras;Flamengo;2;0;0;1
5617;17/9/2016;Corinthians;Palmeiras;1;4;1;0
5618;18/9/2016;Flamengo;Figueirense;2;2;0;1
5619;18/9/2016;Cruzeiro;Atletico-MG;0;2;1;0
5628;24/9/2016;Sport;Santos;3;1;0;1
5649;5/10/2016;Corinthians;Atletico-MG;0;1;0;1
5654;9/10/2016;Flamengo;Santa Cruz;1;0;0;1
5657;12/10/2016;Chapecoense;Sport;1;1;0;1
5675;16/10/2016;Sport;Vitoria;1;3;0;1
5679;23/10/2016;Flamengo;Corinthians;2;3;0;1
5680;23/10/2016;Vitoria;Cruzeiro;2;2;0;1
5684;23/10/2016;Atletico-MG;Figueirense;2;3;0;2
5693;29/10/2016;Internacional;Santa Cruz;2;2;1;0
5705;6/11/2016;Chapecoense;Figueirense;1;2;0;1
5722;20/11/2016;Ponte Preta;Fluminense;3;2;0;1
5725;20/11/2016;Santa Cruz;Atletico-MG;2;0;1;1
5739;11/12/2016;Gremio;Botafogo-RJ;2;3;0;1
5740;11/12/2016;Sao Paulo;Santa Cruz;1;1;1;0
5743;11/12/2016;Athletico-PR;Flamengo;2;5;0;1
5750;14/5/2017;Bahia;Athletico-PR;0;0;0;1
5759;21/5/2017;Vasco;Bahia;4;1;0;1
5760;21/5/2017;Athletico-PR;Gremio;2;3;0;1
5773;28/5/2017;Sport;Gremio;3;1;1;0
5775;29/5/2017;Chapecoense;Avai;1;0;1;1
5804;11/6/2017;Athletico-PR;Santos;1;0;0;1
5806;14/6/2017;Atletico-MG;Athletico-PR;2;4;0;1
5832;22/6/2017;Corinthians;Bahia;2;2;1;1
5843;25/6/2017;Bahia;Flamengo;1;3;1;0
5847;1/7/2017;Atletico-GO;Santos;2;1;1;0
5855;3/7/2017;Fluminense;Chapecoense;3;4;0;1
5861;9/7/2017;Gremio;Avai;1;4;0;1
5878;16/7/2017;Vasco;Santos;4;2;0;1
5895;20/7/2017;Athletico-PR;Botafogo-RJ;3;4;0;1
