,ID,data,clube_mandante_x,clube_visitante_x
0,4989,9/5/2015,Fluminense,Joinville
1,4990,10/5/2015,Gremio,Ponte Preta
2,4994,10/5/2015,Sport,Figueirense
3,4995,10/5/2015,Avai,Santos
4,5008,23/5/2015,Vasco,Internacional
5,5010,24/5/2015,Palmeiras,Goias
6,5017,30/5/2015,Ponte Preta,Chapecoense
7,5024,31/5/2015,Internacional,Sao Paulo
8,5025,31/5/2015,Flamengo,Fluminense
9,5026,31/5/2015,Figueirense,Cruzeiro
10,5028,3/6/2015,Vasco,Ponte Preta
11,5043,7/6/2015,Internacional,Coritiba
12,5048,13/6/2015,Coritiba,Flamengo
13,5055,14/6/2015,Palmeiras,Fluminense
14,5059,20/6/2015,Flamengo,Atletico-MG
15,5060,20/6/2015,Santos,Corinthians
16,5063,21/6/2015,Joinville,Goias
17,5064,21/6/2015,Athletico-PR,Coritiba
18,5076,28/6/2015,Internacional,Santos
19,5085,2/7/2015,Figueirense,Goias
20,5088,4/7/2015,Chapecoense,Vasco
21,5090,5/7/2015,Avai,Sport
22,5093,5/7/2015,Santos,Gremio
23,5122,19/7/2015,Sport,Sao Paulo
24,5139,1/8/2015,Fluminense,Gremio
25,5151,9/8/2015,Sao Paulo,Corinthians
26,5158,12/8/2015,Flamengo,Athletico-PR
27,5159,12/8/2015,Santos,Vasco
28,5162,12/8/2015,Internacional,Fluminense
29,5168,15/8/2015,Athletico-PR,Santos
30,5172,16/8/2015,Fluminense,Figueirense
31,5177,22/8/2015,Goias,Vasco
32,5195,30/8/2015,Cruzeiro,Santos
33,5201,2/9/2015,Atletico-MG,Athletico-PR
34,5208,5/9/2015,Vasco,Atletico-MG
35,5209,5/9/2015,Athletico-PR,Joinville
36,5212,6/9/2015,Gremio,Goias
37,5215,6/9/2015,Fluminense,Flamengo
38,5217,9/9/2015,Ponte Preta,Vasco
39,5219,9/9/2015,Internacional,Palmeiras
40,5228,12/9/2015,Palmeiras,Figueirense
41,5231,13/9/2015,Cruzeiro,Atletico-MG
42,5244,16/9/2015,Cruzeiro,Vasco
43,5255,20/9/2015,Chapecoense,Cruzeiro
44,5275,4/10/2015,Ponte Preta,Corinthians
45,5288,17/10/2015,Joinville,Figueirense
46,5293,18/10/2015,Sao Paulo,Vasco
47,5296,18/10/2015,Sport,Atletico-MG
48,5301,25/10/2015,Corinthians,Flamengo
49,5313,1/11/2015,Gremio,Flamengo
50,5315,1/11/2015,Vasco,Fluminense
51,5333,19/11/2015,Chapecoense,Internacional
52,5335,19/11/2015,Santos,Flamengo
53,5336,19/11/2015,Vasco,Corinthians
54,5338,22/11/2015,Joinville,Vasco
55,5349,28/11/2015,Avai,Ponte Preta
56,5367,14/5/2016,Palmeiras,Athletico-PR
57,5370,14/5/2016,Coritiba,Cruzeiro
58,5376,15/5/2016,Internacional,Chapecoense
59,5382,22/5/2016,Vitoria,Corinthians
60,5390,25/5/2016,America-MG,Vitoria
61,5400,29/5/2016,Ponte Preta,Flamengo
62,5409,1/6/2016,Santa Cruz,Sport
63,5431,12/6/2016,Coritiba,Sport
64,5433,12/6/2016,Atletico-MG,Cruzeiro
65,5446,16/6/2016,Fluminense,Corinthians
66,5447,18/6/2016,Palmeiras,Santa Cruz
67,5453,19/6/2016,Flamengo,Sao Paulo
68,5464,23/6/2016,Gremio,Vitoria
69,5466,23/6/2016,Coritiba,Internacional
70,5474,26/6/2016,Santos,Sao Paulo
71,5478,29/6/2016,Vitoria,Sport
72,5489,3/7/2016,Cruzeiro,Vitoria
73,5497,9/7/2016,Chapecoense,Corinthians
74,5520,24/7/2016,Ponte Preta,Internacional
75,5521,24/7/2016,Gremio,Sao Paulo
76,5527,30/7/2016,Figueirense,Vitoria
77,5575,21/8/2016,Figueirense,Cruzeiro
78,5587,7/9/2016,Santa Cruz,Chapecoense
79,5596,8/9/2016,Internacional,Santos
80,5597,10/9/2016,Vitoria,Flamengo
81,5608,14/9/2016,Figueirense,America-MG
82,5611,14/9/2016,Coritiba,Corinthians
83,5612,14/9/2016,Palmeiras,Flamengo
84,5617,17/9/2016,Corinthians,Palmeiras
85,5618,18/9/2016,Flamengo,Figueirense
86,5619,18/9/2016,Cruzeiro,Atletico-MG
87,5628,24/9/2016,Sport,Santos
88,5649,5/10/2016,Corinthians,Atletico-MG
89,5654,9/10/2016,Flamengo,Santa Cruz
90,5657,12/10/2016,Chapecoense,Sport
91,5675,16/10/2016,Sport,Vitoria
92,5679,23/10/2016,Flamengo,Corinthians
93,5680,23/10/2016,Vitoria,Cruzeiro
94,5684,23/10/2016,Atletico-MG,Figueirense
95,5693,29/10/2016,Internacional,Santa Cruz
96,5705,6/11/2016,Chapecoense,Figueirense
97,5722,20/11/2016,Ponte Preta,Fluminense
98,5725,20/11/2016,Santa Cruz,Atletico-MG
99,5739,11/12/2016,Gremio,Botafogo-RJ
100,5740,11/12/2016,Sao Paulo,Santa Cruz
101,5743,11/12/2016,Athletico-PR,Flamengo
102,5750,14/5/2017,Bahia,Athletico-PR
103,5759,21/5/2017,Vasco,Bahia
104,5760,21/5/2017,Athletico-PR,Gremio
105,5773,28/5/2017,Sport,Gremio
106,5775,29/5/2017,Chapecoense,Avai
107,5804,11/6/2017,Athletico-PR,Santos
108,5806,14/6/2017,Atletico-MG,Athletico-PR
109,5832,22/6/2017,Corinthians,Bahia
110,5843,25/6/2017,Bahia,Flamengo
111,5847,1/7/2017,Atletico-GO,Santos
112,5855,3/7/2017,Fluminense,Chapecoense
113,5861,9/7/2017,Gremio,Avai
114,5878,16/7/2017,Vasco,Santos
115,5895,20/7/2017,Athletico-PR,Botafogo-RJ
116,5912,30/7/2017,Gremio,Santos
117,5920,2/8/2017,Santos,Flamengo
118,5938,13/8/2017,Sao Paulo,Cruzeiro
119,5940,13/8/2017,Atletico-MG,Flamengo
