,ID,clube_mandante,qtd_cartao_amarelo_mandante,qtd_cartao_vermelho_mandante,clube_visitante,qtd_cartao_amarelo_visitante,qtd_cartao_vermelho_visitante,total_cartoes_mandante,total_cartoes_visitante,total_cartoes_amarelos,total_cartoes_vermelhos,total_cartoes_partida,rodada,mandante_Placar,visitante_Placar,vencedor,campeonato,mandante,faltas_mandante,visitante,faltas_visitante,total_faltas_partida
0,4607,Fluminense,0,0,Figueirense,2,0,0,2,2,0,2,1,3,0,Fluminense,12,Fluminense,0,Figueirense,0,0
1,4608,Internacional,2,0,Vitoria,3,0,2,3,5,0,5,1,1,0,Internacional,12,Internacional,0,Vitoria,0,0
2,4609,Chapecoense,0,0,Coritiba,1,0,0,1,1,0,1,1,0,0,-,12,Chapecoense,0,Coritiba,0,0
3,4610,Athletico-PR,1,0,Gremio,2,0,1,2,3,0,3,1,1,0,Athletico-PR,12,Athletico-PR,0,Gremio,0,0
4,4611,Sao Paulo,1,0,Botafogo-RJ,2,0,1,2,3,0,3,1,3,0,Sao Paulo,12,Sao Paulo,0,Botafogo-RJ,0,0
5,4612,Bahia,4,0,Cruzeiro,4,0,4,4,8,0,8,1,1,2,Cruzeiro,12,Bahia,0,Cruzeiro,0,0
6,4614,Flamengo,4,0,Goias,2,0,4,2,6,0,6,1,0,0,-,12,Flamengo,0,Goias,0,0
7,4615,Santos,1,0,Sport,3,0,1,3,4,0,4,1,1,1,-,12,Santos,0,Sport,0,0
8,4616,Criciuma,3,0,Palmeiras,5,0,3,5,8,0,8,1,1,2,Palmeiras,12,Criciuma,0,Palmeiras,0,0
9,4617,Coritiba,3,0,Santos,4,0,3,4,7,0,7,2,0,0,-,12,Coritiba,0,Santos,0,0
10,4618,Palmeiras,1,0,Fluminense,2,0,1,2,3,0,3,2,0,1,Fluminense,12,Palmeiras,0,Fluminense,0,0
11,4619,Botafogo-RJ,2,1,Internacional,4,0,3,4,6,1,7,2,2,2,-,12,Botafogo-RJ,0,Internacional,0,0
12,4620,Vitoria,1,0,Athletico-PR,1,0,1,1,2,0,2,2,2,2,-,12,Vitoria,0,Athletico-PR,0,0
13,4621,Corinthians,2,0,Flamengo,1,1,2,2,3,1,4,2,2,0,Corinthians,12,Corinthians,0,Flamengo,0,0
14,4622,Cruzeiro,2,0,Sao Paulo,1,0,2,1,3,0,3,2,1,1,-,12,Cruzeiro,0,Sao Paulo,0,0
15,4623,Figueirense,3,0,Bahia,2,0,3,2,5,0,5,2,0,2,Bahia,12,Figueirense,0,Bahia,0,0
16,4624,Gremio,3,1,Atletico-MG,3,0,4,3,6,1,7,2,2,1,Gremio,12,Gremio,0,Atletico-MG,0,0
17,4625,Goias,0,0,Criciuma,1,0,0,1,1,0,1,2,1,0,Goias,12,Goias,0,Criciuma,0,0
18,4626,Sport,1,0,Chapecoense,1,0,1,1,2,0,2,2,2,1,Sport,12,Sport,0,Chapecoense,0,0
19,4627,Santos,1,0,Gremio,1,0,1,1,2,0,2,3,0,0,-,12,Santos,0,Gremio,0,0
20,4628,Athletico-PR,3,1,Cruzeiro,3,0,4,3,6,1,7,3,2,3,Cruzeiro,12,Athletico-PR,0,Cruzeiro,0,0
21,4629,Sao Paulo,3,0,Coritiba,3,0,3,3,6,0,6,3,2,2,-,12,Sao Paulo,0,Coritiba,0,0
22,4630,Fluminense,1,0,Vitoria,1,0,1,1,2,0,2,3,1,2,Vitoria,12,Fluminense,0,Vitoria,0,0
23,4631,Criciuma,1,0,Figueirense,5,1,1,6,6,1,7,3,1,0,Criciuma,12,Criciuma,0,Figueirense,0,0
24,4632,Internacional,2,0,Sport,2,0,2,2,4,0,4,3,2,1,Internacional,12,Internacional,0,Sport,0,0
25,4633,Bahia,4,0,Botafogo-RJ,4,0,4,4,8,0,8,3,1,0,Bahia,12,Bahia,0,Botafogo-RJ,0,0
26,4634,Flamengo,2,0,Palmeiras,4,0,2,4,6,0,6,3,4,2,Flamengo,12,Flamengo,0,Palmeiras,0,0
27,4635,Chapecoense,3,0,Corinthians,3,0,3,3,6,0,6,3,0,1,Corinthians,12,Chapecoense,0,Corinthians,0,0
28,4636,Atletico-MG,2,0,Goias,1,0,2,1,3,0,3,3,0,1,Goias,12,Atletico-MG,0,Goias,0,0
29,4637,Internacional,3,0,Athletico-PR,1,0,3,1,4,0,4,4,2,1,Internacional,12,Internacional,0,Athletico-PR,0,0
30,4638,Palmeiras,5,0,Goias,4,0,5,4,9,0,9,4,2,0,Palmeiras,12,Palmeiras,0,Goias,0,0
31,4639,Botafogo-RJ,1,0,Criciuma,5,0,1,5,6,0,6,4,6,0,Botafogo-RJ,12,Botafogo-RJ,0,Criciuma,0,0
32,4640,Chapecoense,2,0,Gremio,4,0,2,4,6,0,6,4,1,2,Gremio,12,Chapecoense,0,Gremio,0,0
33,4641,Fluminense,2,0,Flamengo,4,0,2,4,6,0,6,4,2,0,Fluminense,12,Fluminense,0,Flamengo,0,0
34,4642,Atletico-MG,5,0,Cruzeiro,2,2,5,4,7,2,9,4,2,1,Atletico-MG,12,Atletico-MG,0,Cruzeiro,0,0
35,4643,Sao Paulo,3,0,Corinthians,2,0,3,2,5,0,5,4,1,1,-,12,Sao Paulo,0,Corinthians,0,0
36,4644,Figueirense,2,1,Santos,1,1,3,2,3,2,5,4,0,2,Santos,12,Figueirense,0,Santos,0,0
37,4645,Coritiba,3,0,Sport,1,0,3,1,4,0,4,4,0,1,Sport,12,Coritiba,0,Sport,0,0
38,4646,Bahia,3,1,Vitoria,3,1,4,4,6,2,8,4,1,1,-,12,Bahia,0,Vitoria,0,0
39,4647,Goias,3,0,Botafogo-RJ,0,0,3,0,3,0,3,5,2,0,Goias,12,Goias,0,Botafogo-RJ,0,0
40,4648,Cruzeiro,2,0,Coritiba,1,0,2,1,3,0,3,5,3,2,Cruzeiro,12,Cruzeiro,0,Coritiba,0,0
41,4649,Gremio,3,0,Fluminense,2,1,3,3,5,1,6,5,1,0,Gremio,12,Gremio,0,Fluminense,0,0
42,4650,Corinthians,4,0,Figueirense,3,0,4,3,7,0,7,5,0,1,Figueirense,12,Corinthians,0,Figueirense,0,0
43,4651,Flamengo,1,0,Sao Paulo,1,0,1,1,2,0,2,5,0,2,Sao Paulo,12,Flamengo,0,Sao Paulo,0,0
