,Unnamed: 0,ID,campeonato,rodata,data,clube_mandante,clube_visitante,qtd_cartao_amarelo_mandante,qtd_cartao_amarelo_visitante,qtd_cartao_vermelho_mandante,qtd_cartao_vermelho_visitante,total_cartoes_mandante,total_cartoes_visitante,total_cartoes_vermelhos,total_cartoes_amarelos,total_cartoes_partida,faltas_mandante,faltas_visitante,total_faltas_partida,chave_classico,classico_regional
0,0,4987,2015,1,9/5/2015,Chapecoense,Coritiba,2,2,0,0,2,2,0,4,4,20,21,41,ChapecoenseCoritiba,0
1,1,4988,2015,1,9/5/2015,Palmeiras,Atletico-MG,2,4,0,0,2,4,0,6,6,20,14,34,PalmeirasAtletico-MG,0
2,2,4989,2015,1,9/5/2015,Fluminense,Joinville,2,1,0,1,2,2,1,3,4,9,14,23,FluminenseJoinville,0
3,3,4990,2015,1,10/5/2015,Gremio,Ponte Preta,3,5,0,1,3,6,1,8,9,17,21,38,GremioPonte Preta,0
4,4,4991,2015,1,10/5/2015,Athletico-PR,Internacional,1,2,0,0,1,2,0,3,3,17,17,34,Athletico-PRInternacional,0
5,5,4992,2015,1,10/5/2015,Sao Paulo,Flamengo,2,1,0,0,2,1,0,3,3,17,12,29,Sao PauloFlamengo,0
6,6,4993,2015,1,10/5/2015,Cruzeiro,Corinthians,3,1,0,0,3,1,0,4,4,17,15,32,CruzeiroCorinthians,0
7,7,4994,2015,1,10/5/2015,Sport,Figueirense,1,3,0,1,1,4,1,4,5,17,14,31,SportFigueirense,0
8,8,4995,2015,1,10/5/2015,Avai,Santos,2,2,0,1,2,3,1,4,5,10,11,21,AvaiSantos,0
9,9,4996,2015,1,10/5/2015,Vasco,Goias,3,5,0,0,3,5,0,8,8,16,27,43,VascoGoias,0
10,10,4997,2015,2,16/5/2015,Goias,Athletico-PR,2,1,0,1,2,2,1,3,4,14,18,32,GoiasAthletico-PR,0
11,11,4998,2015,2,16/5/2015,Coritiba,Gremio,2,3,0,0,2,3,0,5,5,22,13,35,CoritibaGremio,0
12,12,4999,2015,2,16/5/2015,Corinthians,Chapecoense,2,4,0,0,2,4,0,6,6,16,13,29,CorinthiansChapecoense,0
13,13,5000,2015,2,17/5/2015,Figueirense,Vasco,2,6,0,0,2,6,0,8,8,18,13,31,FigueirenseVasco,0
14,14,5001,2015,2,17/5/2015,Atletico-MG,Fluminense,2,1,0,0,2,1,0,3,3,17,9,26,Atletico-MGFluminense,0
15,15,5002,2015,2,17/5/2015,Flamengo,Sport,2,3,0,0,2,3,0,5,5,10,7,17,FlamengoSport,0
16,16,5003,2015,2,17/5/2015,Santos,Cruzeiro,1,4,0,0,1,4,0,5,5,18,13,31,SantosCruzeiro,0
