,Unnamed: 0,ID,clube_mandante,cartao_amarelo_mandante,cartao_vermelho_mandante,passes_mandante,faltas_mandante,clube_visitante,cartao_amarelo_visitante,cartao_vermelho_visitante,passes_visitante,faltas_visitante,total_faltas_partida,total_passes_partida,total_cartoes_amarelos,total_cartoes_vermelhos,total_cartoes_partida,data,campeonato
4986,4986,4987,Chapecoense,2,0,326,20,Coritiba,2,0,388,21,41,714,4,0,4,9/5/2015,13
4987,4987,4988,Palmeiras,2,0,406,20,Atletico-MG,4,0,426,14,34,832,6,0,6,9/5/2015,13
4988,4988,4989,Fluminense,2,0,702,9,Joinville,0,1,250,14,23,952,2,1,3,9/5/2015,13
4989,4989,4990,Gremio,3,0,401,17,Ponte Preta,4,1,473,21,38,874,7,1,8,10/5/2015,13
4990,4990,4991,Athletico-PR,1,0,335,17,Internacional,2,0,502,17,34,837,3,0,3,10/5/2015,13
4991,4991,4992,Sao Paulo,2,0,502,17,Flamengo,1,0,430,12,29,932,3,0,3,10/5/2015,13
4992,4992,4993,Cruzeiro,3,0,487,17,Corinthians,1,0,391,15,32,878,4,0,4,10/5/2015,13
4993,4993,4994,Sport,1,0,449,17,Figueirense,2,1,391,14,31,840,3,1,4,10/5/2015,13
4994,4994,4995,Avai,2,0,462,10,Santos,1,1,452,11,21,914,3,1,4,10/5/2015,13
4995,4995,4996,Vasco,3,0,439,16,Goias,5,0,279,27,43,718,8,0,8,10/5/2015,13
4996,4996,4997,Goias,2,0,334,14,Athletico-PR,1,1,477,18,32,811,3,1,4,16/5/2015,13
4997,4997,4998,Coritiba,2,0,353,22,Gremio,3,0,456,13,35,809,5,0,5,16/5/2015,13
4998,4998,4999,Corinthians,2,0,437,16,Chapecoense,4,0,487,13,29,924,6,0,6,16/5/2015,13
4999,4999,5000,Figueirense,2,0,381,18,Vasco,6,0,436,13,31,817,8,0,8,17/5/2015,13
5000,5000,5001,Atletico-MG,2,0,466,17,Fluminense,1,0,411,9,26,877,3,0,3,17/5/2015,13
5001,5001,5002,Flamengo,2,0,492,10,Sport,3,0,373,7,17,865,5,0,5,17/5/2015,13
5002,5002,5003,Santos,1,0,351,18,Cruzeiro,4,0,445,13,31,796,5,0,5,17/5/2015,13
5003,5003,5004,Joinville,3,0,377,17,Palmeiras,1,0,589,12,29,966,4,0,4,17/5/2015,13
5004,5004,5005,Ponte Preta,1,0,373,15,Sao Paulo,3,0,549,14,29,922,4,0,4,17/5/2015,13
5005,5005,5006,Internacional,3,0,451,17,Avai,7,0,345,26,43,796,10,0,10,17/5/2015,13
5006,5006,5007,Sao Paulo,2,0,642,12,Joinville,0,0,380,11,23,1022,2,0,2,23/5/2015,13
5007,5007,5008,Vasco,6,0,466,15,Internacional,2,1,312,16,31,778,8,1,9,23/5/2015,13
5008,5008,5009,Gremio,6,0,536,16,Figueirense,5,0,326,24,40,862,11,0,11,23/5/2015,13
5009,5009,5010,Palmeiras,6,1,445,13,Goias,4,1,171,24,37,616,10,2,12,24/5/2015,13
5010,5010,5011,Chapecoense,5,0,307,13,Santos,6,0,462,20,33,769,11,0,11,24/5/2015,13
5011,5011,5012,Athletico-PR,4,1,324,7,Atletico-MG,0,0,537,8,15,861,4,1,5,24/5/2015,13
5012,5012,5013,Fluminense,2,0,355,19,Corinthians,2,0,500,6,25,855,4,0,4,24/5/2015,13
5013,5013,5014,Avai,5,0,338,15,Flamengo,6,0,443,17,32,781,11,0,11,24/5/2015,13
5014,5014,5015,Cruzeiro,2,0,390,17,Ponte Preta,2,0,357,11,28,747,4,0,4,24/5/2015,13
5015,5015,5016,Sport,1,0,388,13,Coritiba,4,0,385,17,30,773,5,0,5,24/5/2015,13
5016,5016,5017,Ponte Preta,4,0,438,20,Chapecoense,1,1,483,15,35,921,5,1,6,30/5/2015,13
5017,5017,5018,Coritiba,4,0,413,17,Avai,4,0,310,21,38,723,8,0,8,30/5/2015,13
5018,5018,5019,Joinville,0,0,464,12,Athletico-PR,4,0,399,13,25,863,4,0,4,30/5/2015,13
5019,5019,5020,Santos,1,0,472,9,Sport,2,0,415,11,20,887,3,0,3,31/5/2015,13
5020,5020,5021,Goias,1,0,345,14,Gremio,1,0,495,14,28,840,2,0,2,31/5/2015,13
5021,5021,5022,Atletico-MG,0,0,457,16,Vasco,3,0,413,12,28,870,3,0,3,31/5/2015,13
5022,5022,5023,Corinthians,5,0,477,21,Palmeiras,5,0,409,21,42,886,10,0,10,31/5/2015,13
5023,5023,5024,Internacional,3,0,516,19,Sao Paulo,0,1,434,17,36,950,3,1,4,31/5/2015,13
5024,5024,5025,Flamengo,5,1,475,24,Fluminense,3,1,253,23,47,728,8,2,10,31/5/2015,13
5025,5025,5026,Figueirense,3,0,266,17,Cruzeiro,5,1,545,11,28,811,8,1,9,31/5/2015,13
5026,5026,5027,Athletico-PR,1,0,385,12,Figueirense,4,0,442,8,20,827,5,0,5,3/6/2015,13
5027,5027,5028,Vasco,1,2,441,15,Ponte Preta,3,0,417,18,33,858,4,2,6,3/6/2015,13
5028,5028,5029,Chapecoense,3,0,349,16,Joinville,5,0,314,12,28,663,8,0,8,3/6/2015,13
5029,5029,5030,Sao Paulo,5,0,531,14,Santos,3,1,329,15,29,860,8,1,9,3/6/2015,13
5030,5030,5031,Cruzeiro,2,0,410,16,Flamengo,3,0,378,17,33,788,5,0,5,3/6/2015,13
5031,5031,5032,Avai,3,0,395,12,Atletico-MG,3,0,479,15,27,874,6,0,6,3/6/2015,13
5032,5032,5033,Gremio,2,0,397,22,Corinthians,3,0,627,10,32,1024,5,0,5,3/6/2015,13
5033,5033,5034,Fluminense,1,0,451,13,Coritiba,4,0,414,24,37,865,5,0,5,4/6/2015,13
5034,5034,5035,Sport,2,0,597,11,Goias,4,0,296,13,24,893,6,0,6,4/6/2015,13
5035,5035,5036,Palmeiras,1,0,456,15,Internacional,4,0,354,13,28,810,5,0,5,4/6/2015,13
5036,5036,5037,Atletico-MG,0,0,462,12,Cruzeiro,0,0,268,13,25,730,0,0,0,6/6/2015,13
5037,5037,5038,Flamengo,1,0,437,13,Chapecoense,0,1,262,12,25,699,1,1,2,6/6/2015,13
5038,5038,5039,Santos,2,0,451,17,Ponte Preta,2,0,416,15,32,867,4,0,4,6/6/2015,13
5039,5039,5040,Athletico-PR,4,0,380,15,Vasco,3,0,480,7,22,860,7,0,7,6/6/2015,13
5040,5040,5041,Joinville,1,0,432,8,Corinthians,1,0,430,9,17,862,2,0,2,6/6/2015,13
5041,5041,5042,Sao Paulo,3,0,631,19,Gremio,2,0,436,14,33,1067,5,0,5,6/6/2015,13
5042,5042,5043,Internacional,3,1,424,5,Coritiba,5,0,401,16,21,825,8,1,9,7/6/2015,13
5043,5043,5044,Figueirense,3,0,253,22,Palmeiras,3,0,506,14,36,759,6,0,6,7/6/2015,13
5044,5044,5045,Goias,2,0,496,15,Avai,4,0,401,17,32,897,6,0,6,7/6/2015,13
5045,5045,5046,Fluminense,3,0,408,12,Sport,2,0,479,10,22,887,5,0,5,7/6/2015,13
5046,5046,5047,Atletico-MG,1,0,520,8,Santos,4,0,320,15,23,840,5,0,5,10/6/2015,13
5047,5047,5048,Coritiba,2,0,478,17,Flamengo,3,1,380,14,31,858,5,1,6,13/6/2015,13
5048,5048,5049,Chapecoense,2,0,460,5,Sao Paulo,4,0,322,29,34,782,6,0,6,13/6/2015,13
5049,5049,5050,Corinthians,0,0,392,10,Internacional,2,0,427,9,19,819,2,0,2,13/6/2015,13
5050,5050,5051,Sport,0,0,379,10,Joinville,4,0,417,13,23,796,4,0,4,13/6/2015,13
5051,5051,5052,Vasco,2,0,536,13,Cruzeiro,4,0,362,25,38,898,6,0,6,13/6/2015,13
5052,5052,5053,Ponte Preta,3,0,430,24,Goias,3,0,279,19,43,709,6,0,6,14/6/2015,13
5053,5053,5054,Avai,4,0,304,14,Figueirense,3,0,229,26,40,533,7,0,7,14/6/2015,13
