,partida_id,clube_mandante,cartao_amarelo_mandante,cartao_vermelho_mandante,passes_mandante,faltas_mandante,clube_visitante,cartao_amarelo_visitante,cartao_vermelho_visitante,passes_visitante,faltas_visitante,total_faltas_partida,total_passes_partida,total_cartoes_amarelos,total_cartoes_vermelhos,total_cartoes_partida
0,1,Guarani,0,0,0,0,Vasco,0,0,0,0,0,0,0,0,0
1,2,Athletico-PR,0,0,0,0,Gremio,0,0,0,0,0,0,0,0,0
2,3,Flamengo,0,0,0,0,Coritiba,0,0,0,0,0,0,0,0,0
3,4,Goias,0,0,0,0,Paysandu,0,0,0,0,0,0,0,0,0
4,5,Internacional,0,0,0,0,Ponte Preta,0,0,0,0,0,0,0,0,0
5,6,Criciuma,0,0,0,0,Fluminense,0,0,0,0,0,0,0,0,0
6,7,Juventude,0,0,0,0,Sao Paulo,0,0,0,0,0,0,0,0,0
7,8,Fortaleza,0,0,0,0,Bahia,0,0,0,0,0,0,0,0,0
8,9,Cruzeiro,0,0,0,0,Sao Caetano,0,0,0,0,0,0,0,0,0
9,10,Vitoria,0,0,0,0,Figueirense,0,0,0,0,0,0,0,0,0
10,11,Santos,0,0,0,0,Parana,0,0,0,0,0,0,0,0,0
11,12,Corinthians,0,0,0,0,Atletico-MG,0,0,0,0,0,0,0,0,0
12,13,Fluminense,0,0,0,0,Fortaleza,0,0,0,0,0,0,0,0,0
13,14,Atletico-MG,0,0,0,0,Santos,0,0,0,0,0,0,0,0,0
14,15,Coritiba,0,0,0,0,Internacional,0,0,0,0,0,0,0,0,0
15,16,Gremio,0,0,0,0,Guarani,0,0,0,0,0,0,0,0,0
16,17,Bahia,0,0,0,0,Flamengo,0,0,0,0,0,0,0,0,0
17,18,Figueirense,0,0,0,0,Corinthians,0,0,0,0,0,0,0,0,0
18,19,Paysandu,0,0,0,0,Vitoria,0,0,0,0,0,0,0,0,0
19,20,Ponte Preta,0,0,0,0,Juventude,0,0,0,0,0,0,0,0,0
20,21,Parana,0,0,0,0,Athletico-PR,0,0,0,0,0,0,0,0,0
21,22,Sao Caetano,0,0,0,0,Criciuma,0,0,0,0,0,0,0,0,0
22,23,Sao Paulo,0,0,0,0,Cruzeiro,0,0,0,0,0,0,0,0,0
23,24,Vasco,0,0,0,0,Goias,0,0,0,0,0,0,0,0,0
24,25,Paysandu,0,0,0,0,Santos,0,0,0,0,0,0,0,0,0
25,37,Internacional,0,0,0,0,Bahia,0,0,0,0,0,0,0,0,0
26,38,Santos,0,0,0,0,Figueirense,0,0,0,0,0,0,0,0,0
27,39,Athletico-PR,0,0,0,0,Atletico-MG,0,0,0,0,0,0,0,0,0
28,40,Corinthians,0,0,0,0,Paysandu,0,0,0,0,0,0,0,0,0
29,41,Vitoria,0,0,0,0,Vasco,0,0,0,0,0,0,0,0,0
30,42,Criciuma,0,0,0,0,Sao Paulo,0,0,0,0,0,0,0,0,0
31,43,Fortaleza,0,0,0,0,Sao Caetano,0,0,0,0,0,0,0,0,0
32,44,Juventude,0,0,0,0,Coritiba,0,0,0,0,0,0,0,0,0
33,45,Guarani,0,0,0,0,Parana,0,0,0,0,0,0,0,0,0
34,46,Goias,0,0,0,0,Gremio,0,0,0,0,0,0,0,0,0
35,47,Cruzeiro,0,0,0,0,Ponte Preta,0,0,0,0,0,0,0,0,0
36,48,Flamengo,0,0,0,0,Fluminense,0,0,0,0,0,0,0,0,0
37,26,Bahia,0,0,0,0,Juventude,0,0,0,0,0,0,0,0,0
38,27,Gremio,0,0,0,0,Vitoria,0,0,0,0,0,0,0,0,0
39,28,Atletico-MG,0,0,0,0,Guarani,0,0,0,0,0,0,0,0,0
40,29,Figueirense,0,0,0,0,Athletico-PR,0,0,0,0,0,0,0,0,0
41,30,Ponte Preta,0,0,0,0,Criciuma,0,0,0,0,0,0,0,0,0
42,31,Sao Caetano,0,0,0,0,Flamengo,0,0,0,0,0,0,0,0,0
43,32,Vasco,0,0,0,0,Corinthians,0,0,0,0,0,0,0,0,0
44,33,Coritiba,0,0,0,0,Cruzeiro,0,0,0,0,0,0,0,0,0
45,34,Fluminense,0,0,0,0,Internacional,0,0,0,0,0,0,0,0,0
46,35,Sao Paulo,0,0,0,0,Fortaleza,0,0,0,0,0,0,0,0,0
47,36,Parana,0,0,0,0,Goias,0,0,0,0,0,0,0,0,0
48,144,Flamengo,0,0,0,0,Cruzeiro,0,0,0,0,0,0,0,0,0
49,49,Bahia,0,0,0,0,Atletico-MG,0,0,0,0,0,0,0,0,0
50,50,Sao Caetano,0,0,0,0,Gremio,0,0,0,0,0,0,0,0,0
51,51,Flamengo,0,0,0,0,Santos,0,0,0,0,0,0,0,0,0
52,52,Sao Paulo,0,0,0,0,Vasco,0,0,0,0,0,0,0,0,0
53,53,Internacional,0,0,0,0,Corinthians,0,0,0,0,0,0,0,0,0
54,54,Criciuma,0,0,0,0,Guarani,0,0,0,0,0,0,0,0,0
55,55,Juventude,0,0,0,0,Vitoria,0,0,0,0,0,0,0,0,0
56,56,Fortaleza,0,0,0,0,Athletico-PR,0,0,0,0,0,0,0,0,0
57,57,Ponte Preta,0,0,0,0,Paysandu,0,0,0,0,0,0,0,0,0
58,58,Cruzeiro,0,0,0,0,Goias,0,0,0,0,0,0,0,0,0
59,59,Fluminense,0,0,0,0,Parana,0,0,0,0,0,0,0,0,0
60,60,Coritiba,0,0,0,0,Figueirense,0,0,0,0,0,0,0,0,0
61,61,Atletico-MG,0,0,0,0,Coritiba,0,0,0,0,0,0,0,0,0
62,62,Parana,0,0,0,0,Bahia,0,0,0,0,0,0,0,0,0
63,63,Vitoria,0,0,0,0,Internacional,0,0,0,0,0,0,0,0,0
64,64,Guarani,0,0,0,0,Cruzeiro,0,0,0,0,0,0,0,0,0
65,65,Corinthians,0,0,0,0,Flamengo,0,0,0,0,0,0,0,0,0
66,66,Goias,0,0,0,0,Juventude,0,0,0,0,0,0,0,0,0
67,67,Figueirense,0,0,0,0,Ponte Preta,0,0,0,0,0,0,0,0,0
68,68,Santos,0,0,0,0,Fortaleza,0,0,0,0,0,0,0,0,0
69,69,Gremio,0,0,0,0,Fluminense,0,0,0,0,0,0,0,0,0
70,70,Athletico-PR,0,0,0,0,Criciuma,0,0,0,0,0,0,0,0,0
71,71,Paysandu,0,0,0,0,Sao Paulo,0,0,0,0,0,0,0,0,0
72,72,Vasco,0,0,0,0,Sao Caetano,0,0,0,0,0,0,0,0,0
73,73,Flamengo,0,0,0,0,Vitoria,0,0,0,0,0,0,0,0,0
74,74,Bahia,0,0,0,0,Gremio,0,0,0,0,0,0,0,0,0
75,75,Cruzeiro,0,0,0,0,Athletico-PR,0,0,0,0,0,0,0,0,0
76,76,Fortaleza,0,0,0,0,Corinthians,0,0,0,0,0,0,0,0,0
77,77,Sao Paulo,0,0,0,0,Figueirense,0,0,0,0,0,0,0,0,0
78,78,Sao Caetano,0,0,0,0,Paysandu,0,0,0,0,0,0,0,0,0
79,79,Internacional,0,0,0,0,Goias,0,0,0,0,0,0,0,0,0
80,80,Ponte Preta,0,0,0,0,Atletico-MG,0,0,0,0,0,0,0,0,0
81,81,Juventude,0,0,0,0,Guarani,0,0,0,0,0,0,0,0,0
82,82,Coritiba,0,0,0,0,Parana,0,0,0,0,0,0,0,0,0
83,83,Criciuma,0,0,0,0,Santos,0,0,0,0,0,0,0,0,0
84,84,Fluminense,0,0,0,0,Vasco,0,0,0,0,0,0,0,0,0
85,85,Goias,0,0,0,0,Flamengo,0,0,0,0,0,0,0,0,0
86,86,Santos,0,0,0,0,Cruzeiro,0,0,0,0,0,0,0,0,0
87,87,Parana,0,0,0,0,Ponte Preta,0,0,0,0,0,0,0,0,0
88,88,Corinthians,0,0,0,0,Criciuma,0,0,0,0,0,0,0,0,0
89,89,Vasco,0,0,0,0,Bahia,0,0,0,0,0,0,0,0,0
90,90,Paysandu,0,0,0,0,Fluminense,0,0,0,0,0,0,0,0,0
91,91,Atletico-MG,0,0,0,0,Sao Paulo,0,0,0,0,0,0,0,0,0
92,92,Vitoria,0,0,0,0,Fortaleza,0,0,0,0,0,0,0,0,0
93,93,Guarani,0,0,0,0,Internacional,0,0,0,0,0,0,0,0,0
94,94,Athletico-PR,0,0,0,0,Juventude,0,0,0,0,0,0,0,0,0
95,95,Figueirense,0,0,0,0,Sao Caetano,0,0,0,0,0,0,0,0,0
96,96,Gremio,0,0,0,0,Coritiba,0,0,0,0,0,0,0,0,0
97,97,Fluminense,0,0,0,0,Figueirense,0,0,0,0,0,0,0,0,0
98,98,Sao Caetano,0,0,0,0,Atletico-MG,0,0,0,0,0,0,0,0,0
99,99,Juventude,0,0,0,0,Santos,0,0,0,0,0,0,0,0,0
100,100,Bahia,0,0,0,0,Paysandu,0,0,0,0,0,0,0,0,0
101,101,Internacional,0,0,0,0,Athletico-PR,0,0,0,0,0,0,0,0,0
102,102,Coritiba,0,0,0,0,Vasco,0,0,0,0,0,0,0,0,0
103,103,Cruzeiro,0,0,0,0,Corinthians,0,0,0,0,0,0,0,0,0
104,104,Fortaleza,0,0,0,0,Goias,0,0,0,0,0,0,0,0,0
105,105,Ponte Preta,0,0,0,0,Gremio,0,0,0,0,0,0,0,0,0
106,106,Criciuma,0,0,0,0,Vitoria,0,0,0,0,0,0,0,0,0
107,107,Flamengo,0,0,0,0,Guarani,0,0,0,0,0,0,0,0,0
108,108,Sao Paulo,0,0,0,0,Parana,0,0,0,0,0,0,0,0,0
109,109,Atletico-MG,0,0,0,0,Fluminense,0,0,0,0,0,0,0,0,0
110,110,Parana,0,0,0,0,Sao Caetano,0,0,0,0,0,0,0,0,0
111,111,Corinthians,0,0,0,0,Juventude,0,0,0,0,0,0,0,0,0
112,112,Vasco,0,0,0,0,Ponte Preta,0,0,0,0,0,0,0,0,0
113,113,Athletico-PR,0,0,0,0,Flamengo,0,0,0,0,0,0,0,0,0
114,114,Paysandu,0,0,0,0,Coritiba,0,0,0,0,0,0,0,0,0
115,115,Goias,0,0,0,0,Criciuma,0,0,0,0,0,0,0,0,0
116,116,Gremio,0,0,0,0,Sao Paulo,0,0,0,0,0,0,0,0,0
117,117,Guarani,0,0,0,0,Fortaleza,0,0,0,0,0,0,0,0,0
118,118,Figueirense,0,0,0,0,Bahia,0,0,0,0,0,0,0,0,0
119,119,Vitoria,0,0,0,0,Cruzeiro,0,0,0,0,0,0,0,0,0
120,120,Santos,0,0,0,0,Internacional,0,0,0,0,0,0,0,0,0
121,121,Fluminense,0,0,0,0,Athletico-PR,0,0,0,0,0,0,0,0,0
122,122,Cruzeiro,0,0,0,0,Criciuma,0,0,0,0,0,0,0,0,0
123,123,Coritiba,0,0,0,0,Guarani,0,0,0,0,0,0,0,0,0
124,124,Ponte Preta,0,0,0,0,Sao Caetano,0,0,0,0,0,0,0,0,0
125,125,Internacional,0,0,0,0,Paysandu,0,0,0,0,0,0,0,0,0
126,126,Parana,0,0,0,0,Flamengo,0,0,0,0,0,0,0,0,0
127,127,Bahia,0,0,0,0,Goias,0,0,0,0,0,0,0,0,0
128,128,Fortaleza,0,0,0,0,Juventude,0,0,0,0,0,0,0,0,0
129,129,Figueirense,0,0,0,0,Gremio,0,0,0,0,0,0,0,0,0
130,130,Santos,0,0,0,0,Sao Paulo,0,0,0,0,0,0,0,0,0
131,131,Corinthians,0,0,0,0,Vitoria,0,0,0,0,0,0,0,0,0
132,132,Vasco,0,0,0,0,Atletico-MG,0,0,0,0,0,0,0,0,0
133,133,Vitoria,0,0,0,0,Fluminense,0,0,0,0,0,0,0,0,0
134,134,Guarani,0,0,0,0,Santos,0,0,0,0,0,0,0,0,0
135,135,Gremio,0,0,0,0,Fortaleza,0,0,0,0,0,0,0,0,0
136,136,Atletico-MG,0,0,0,0,Figueirense,0,0,0,0,0,0,0,0,0
137,137,Paysandu,0,0,0,0,Parana,0,0,0,0,0,0,0,0,0
138,138,Juventude,0,0,0,0,Vasco,0,0,0,0,0,0,0,0,0
139,139,Athletico-PR,0,0,0,0,Ponte Preta,0,0,0,0,0,0,0,0,0
140,140,Goias,0,0,0,0,Coritiba,0,0,0,0,0,0,0,0,0
141,141,Sao Caetano,0,0,0,0,Corinthians,0,0,0,0,0,0,0,0,0
142,142,Criciuma,0,0,0,0,Internacional,0,0,0,0,0,0,0,0,0
143,143,Sao Paulo,0,0,0,0,Bahia,0,0,0,0,0,0,0,0,0
144,145,Fluminense,0,0,0,0,Goias,0,0,0,0,0,0,0,0,0
145,146,Ponte Preta,0,0,0,0,Guarani,0,0,0,0,0,0,0,0,0
146,147,Coritiba,0,0,0,0,Athletico-PR,0,0,0,0,0,0,0,0,0
147,148,Corinthians,0,0,0,0,Sao Paulo,0,0,0,0,0,0,0,0,0
148,149,Fortaleza,0,0,0,0,Paysandu,0,0,0,0,0,0,0,0,0
149,150,Parana,0,0,0,0,Juventude,0,0,0,0,0,0,0,0,0
150,151,Gremio,0,0,0,0,Internacional,0,0,0,0,0,0,0,0,0
151,152,Santos,0,0,0,0,Sao Caetano,0,0,0,0,0,0,0,0,0
152,153,Criciuma,0,0,0,0,Figueirense,0,0,0,0,0,0,0,0,0
153,154,Bahia,0,0,0,0,Vitoria,0,0,0,0,0,0,0,0,0
154,155,Vasco,0,0,0,0,Flamengo,0,0,0,0,0,0,0,0,0
155,156,Cruzeiro,0,0,0,0,Atletico-MG,0,0,0,0,0,0,0,0,0
156,157,Bahia,0,0,0,0,Coritiba,0,0,0,0,0,0,0,0,0
157,158,Vasco,0,0,0,0,Criciuma,0,0,0,0,0,0,0,0,0
