,ID,campeonato,data,clube_mandante,clube_visitante,faltas_mandante,faltas_visitante
951,5955,2017,21/8/2017,Fluminense,Atletico-MG,0,0
3010,6517,2019,1/5/2019,CSA,Palmeiras,0,0
1529,6541,2019,12/5/2019,Atletico-MG,Palmeiras,0,0
1582,6595,2019,13/6/2019,Goias,Athletico-PR,0,0
1595,6609,2019,20/7/2019,CSA,Athletico-PR,0,0
1603,6617,2019,27/7/2019,Cruzeiro,Athletico-PR,0,0
1621,6635,2019,21/8/2019,Athletico-PR,Sao Paulo,0,0
1635,6649,2019,17/8/2019,Athletico-PR,Atletico-MG,0,0
1642,6657,2019,24/8/2019,Gremio,Athletico-PR,0,0
1675,6690,2019,15/9/2019,Athletico-PR,Avai,0,0
1688,6703,2019,22/9/2019,Vasco,Athletico-PR,0,0
1706,6721,2019,29/9/2019,Athletico-PR,Chapecoense,0,0
1728,6743,2019,10/10/2019,Corinthians,Athletico-PR,0,0
1735,6750,2019,13/10/2019,Athletico-PR,Flamengo,0,0
1750,6765,2019,17/10/2019,Fluminense,Athletico-PR,0,0
1765,6780,2019,26/10/2019,Cruzeiro,Fortaleza,0,0
1766,6781,2019,27/10/2019,Athletico-PR,Goias,0,0
1784,6801,2019,3/11/2019,Athletico-PR,CSA,0,0
1792,6809,2019,6/11/2019,Athletico-PR,Cruzeiro,0,0
1803,6820,2019,10/11/2019,Sao Paulo,Athletico-PR,0,0
1812,6829,2019,24/11/2019,Atletico-MG,Athletico-PR,0,0
1824,6841,2019,17/11/2019,Athletico-PR,Botafogo-RJ,0,0
1832,6849,2019,27/11/2019,Athletico-PR,Gremio,0,0
1866,6884,2019,8/12/2019,Avai,Athletico-PR,0,0
1996,7015,2020,4/10/2020,Atletico-MG,Vasco,0,0
